iter	Passed	Remaining
292	656	1584
293	658	1581
294	659	1576
295	661	1573
296	667	1580
297	669	1577
298	670	1572
299	672	1570
300	674	1565
301	675	1560
302	676	1556
303	682	1562
304	684	1559
305	686	1556
306	687	1552
307	688	1547
308	691	1545
309	692	1540
310	696	1542
311	698	1539
312	699	1535
313	700	1530
314	701	1526
315	703	1522
316	704	1518
317	706	1514
318	707	1509
319	713	1515
320	714	1512
321	716	1508
322	718	1505
323	719	1501
324	721	1497
325	722	1494
326	727	1498
327	729	1493
328	730	1489
329	732	1486
330	733	1482
331	734	1478
332	735	1473
333	737	1469
334	742	1474
335	744	1471
336	747	1469
337	749	1467
338	751	1465
339	755	1467
340	758	1464
341	759	1462
342	761	1457
343	762	1453
344	763	1450
345	764	1445
346	766	1441
347	767	1437
348	774	1444
349	775	1441
350	778	1440
351	780	1436
352	781	1432
353	783	1429
354	788	1433
355	790	1429
356	791	1425
357	792	1421
358	793	1417
359	794	1413
360	796	1409
361	797	1405
362	802	1407
363	806	1408
364	807	1405
365	808	1400
366	810	1397
367	811	1393
368	812	1389
369	813	1385
370	816	1384
371	818	1382
372	820	1378
373	821	1375
374	822	1371
375	824	1368
376	825	1364
377	826	1360
378	829	1358
379	836	1364
380	838	1362
381	840	1359
382	841	1356
383	843	1352
384	844	1349
385	849	1351
386	851	1348
387	852	1345
388	854	1341
389	855	1338
390	858	1337
391	865	1343
392	867	1340
393	870	1338
394	871	1335
395	873	1331
396	874	1328
397	880	1332
398	882	1329
399	884	1327
400	885	1323
401	888	1321
402	891	1321
403	894	1320
404	896	1317
405	897	1313
406	899	1310
407	901	1307
408	902	1304
409	904	1302
410	907	1300
411	909	1298
412	911	1294
413	913	1292
414	919	1296
415	925	1299
416	927	1296
417	929	1293
418	930	1290
419	933	1289
420	934	1285
421	942	1290
422	944	1287
423	948	1288
424	951	1287
425	958	1291
426	960	1289
427	962	1285
428	970	1291
429	972	1289
430	974	1286
431	975	1282
432	986	1291
433	988	1289
434	991	1287
435	997	1290
436	999	1287
437	1003	1287
438	1005	1285
439	1016	1293
440	1021	1295
441	1035	1307
442	1037	1303
443	1043	1306
444	1048	1307
445	1050	1304
446	1052	1301
447	1054	1298
448	1056	1296
449	1057	1292
450	1059	1289
451	1060	1285
452	1061	1281
453	1062	1278
454	1064	1274
455	1071	1277
456	1072	1274
457	1074	1271
458	1075	1267
459	1077	1264
460	1078	1260
461	1083	1261
462	1084	1258
463	1086	1254
464	1087	1251
465	1089	1248
466	1090	1244
467	1091	1241
468	1092	1237
469	1094	1234
470	1100	1236
471	1102	1233
472	1103	1229
473	1105	1226
474	1107	1223
475	1108	1220
476	1110	1217
477	1114	1217
478	1116	1214
479	1117	1210
480	1118	1207
481	1119	1203
482	1121	1200
483	1122	1196
484	1123	1193
485	1125	1190
486	1130	1191
487	1132	1187
488	1133	1184
489	1135	1182
490	1137	1178
491	1138	1175
492	1140	1172
493	1145	1173
494	1147	1170
495	1148	1166
496	1153	1166
497	1155	1164
498	1163	1167
499	1164	1164
500	1166	1162
501	1168	1158
502	1169	1155
503	1170	1152
504	1171	1148
505	1176	1148
506	1177	1145
507	1179	1142
508	1182	1140
509	1184	1137
510	1185	1134
511	1192	1136
512	1195	1135
513	1196	1131
514	1198	1128
515	1200	1125
516	1201	1122
517	1203	1119
518	1206	1118
519	1208	1115
520	1210	1112
521	1211	1109
522	1212	1105
523	1214	1103
524	1217	1101
525	1220	1100
526	1222	1097
527	1223	1093
528	1224	1090
529	1226	1087
530	1227	1084
531	1228	1080
532	1230	1077
533	1231	1074
534	1232	1071
535	1238	1071
536	1239	1069
537	1241	1065
538	1244	1064
539	1247	1062
540	1248	1059
541	1250	1057
542	1252	1054
543	1253	1050
544	1255	1047
545	1256	1045
546	1258	1041
547	1259	1038
548	1260	1035
549	1264	1034
550	1266	1031
551	1267	1028
552	1268	1025
553	1270	1022
554	1273	1020
555	1274	1017
556	1275	1014
557	1280	1014
558	1281	1011
559	1283	1008
560	1284	1005
561	1285	1002
562	1287	999
563	1288	996
564	1289	992
565	1290	989
566	1294	988
567	1296	985
568	1297	982
569	1299	979
570	1300	977
571	1303	975
572	1304	972
573	1306	969
574	1310	968
575	1311	965
576	1312	962
577	1314	959
578	1315	956
579	1317	953
580	1318	950
581	1319	947
582	1321	945
583	1326	944
584	1327	941
585	1330	940
586	1332	937
587	1334	935
588	1336	932
589	1337	929
590	1341	928
591	1342	925
592	1344	922
593	1345	919
594	1346	916
595	1347	913
596	1349	910
597	1350	907
598	1351	905
599	1355	903
600	1356	900
601	1358	898
602	1359	895
603	1360	892
604	1362	889
605	1363	886
606	1365	883
607	1366	881
608	1367	878
609	1371	877
610	1374	874
611	1376	872
612	1377	869
613	1379	867
614	1381	864
615	1382	861
616	1386	860
617	1388	858
618	1390	855
619	1391	852
620	1393	850
621	1394	847
622	1395	844
623	1397	841
624	1398	839
625	1401	837
626	1403	835
627	1405	832
628	1407	830
629	1408	827
630	1409	824
631	1410	821
632	1412	818
633	1417	818
634	1418	815
635	1420	812
636	1422	810
637	1423	807
638	1424	805
639	1426	802
640	1428	799
641	1436	800
642	1440	799
643	1443	797
644	1450	798
645	1453	796
646	1457	795
647	1459	792
648	1466	793
649	1469	791
650	1470	788
651	1471	785
652	1473	782
653	1474	780
654	1478	778
655	1480	776
656	1482	774
657	1484	771
658	1485	768
659	1487	766
660	1488	763
661	1489	760
662	1494	759
663	1496	757
664	1497	754
665	1499	751
666	1500	749
667	1501	746
668	1503	743
669	1505	741
670	1510	740
671	1511	737
672	1512	735
673	1514	732
674	1515	729
675	1516	726
676	1517	724
677	1519	721
678	1524	720
679	1526	718
680	1527	715
681	1528	712
682	1530	710
683	1531	707
684	1532	704
685	1533	702
686	1535	699
687	1538	697
688	1540	695
689	1541	692
690	1543	690
691	1546	688
692	1547	685
693	1556	686
694	1558	683
695	1559	681
696	1561	678
697	1562	676
698	1565	673
699	1566	671
700	1571	670
701	1572	667
702	1574	665
703	1575	662
704	1576	659
705	1577	657
706	1579	654
707	1582	652
708	1584	650
709	1585	647
710	1586	645
711	1588	642
712	1589	639
713	1590	637
714	1592	634
715	1593	632
716	1595	629
717	1596	626
718	1600	625
719	1602	623
720	1603	620
721	1604	617
722	1605	615
723	1610	614
724	1615	612
725	1617	610
726	1618	607
727	1620	605
728	1621	602
729	1623	600
730	1624	597
731	1626	595
732	1627	592
733	1630	590
734	1631	588
735	1633	585
736	1636	583
737	1638	581
738	1640	579
739	1641	576
740	1645	575
741	1647	572
742	1648	570
743	1649	567
744	1651	565
745	1652	562
746	1653	560
747	1655	557
748	1656	555
749	1657	552
750	1661	550
751	1662	548
752	1664	545
753	1665	543
754	1667	541
755	1669	538
756	1670	536
757	1674	534
758	1676	532
759	1678	529
760	1680	527
761	1682	525
762	1683	522
763	1684	520
764	1686	517
765	1687	515
766	1692	514
767	1693	511
768	1695	509
769	1697	506
770	1698	504
771	1699	502
772	1701	499
773	1702	497
774	1706	495
775	1707	492
776	1709	490
777	1710	488
778	1711	485
779	1712	483
780	1714	480
781	1715	478
782	1716	475
783	1719	473
784	1721	471
785	1723	469
786	1727	467
787	1729	465
788	1730	462
789	1731	460
790	1738	459
791	1740	457
792	1741	454
793	1742	452
794	1743	449
795	1745	447
796	1746	444
797	1747	442
798	1752	440
799	1753	438
800	1754	435
801	1756	433
802	1757	431
803	1758	428
804	1760	426
805	1761	424
806	1767	422
807	1770	420
808	1771	418
809	1773	416
810	1774	413
811	1775	411
812	1777	408
813	1778	406
814	1783	404
815	1784	402
816	1785	400
817	1787	397
818	1788	395
819	1789	392
820	1790	390
821	1792	388
822	1793	385
823	1799	384
824	1801	382
825	1802	379
826	1804	377
827	1805	375
828	1806	372
829	1812	371
830	1814	368
831	1815	366
832	1816	364
833	1819	362
834	1820	359
835	1821	357
836	1823	355
837	1824	352
838	1831	351
839	1833	349
840	1834	346
841	1835	344
842	1836	342
843	1838	339
844	1839	337
845	1843	335
846	1845	333
847	1846	330
848	1847	328
849	1848	326
850	1850	323
851	1851	321
852	1852	319
853	1853	316
854	1862	315
855	1863	313
856	1865	311
857	1867	309
858	1868	306
859	1870	304
860	1875	302
861	1876	300
862	1877	298
863	1879	295
864	1880	293
865	1881	291
866	1882	288
867	1884	286
868	1889	284
869	1891	282
870	1892	280
871	1894	278
872	1895	275
873	1896	273
874	1897	271
875	1898	268
876	1900	266
877	1903	264
878	1905	262
879	1906	260
880	1907	257
881	1908	255
882	1910	253
883	1912	250
884	1913	248
885	1920	247
886	1922	244
887	1925	242
888	1927	240
889	1929	238
890	1931	236
891	1935	234
892	1937	232
893	1938	229
894	1940	227
895	1942	225
896	1944	223
897	1949	221
898	1951	219
899	1953	217
900	1954	214
901	1956	212
902	1957	210
903	1958	208
904	1960	205
905	1966	204
906	1968	201
907	1969	199
908	1971	197
909	1973	195
910	1975	193
911	1980	191
912	1983	188
913	1985	186
914	1987	184
915	1989	182
916	1991	180
917	1993	178
918	1995	175
919	1997	173
920	1999	171
921	2001	169
922	2004	167
923	2005	164
924	2006	162
925	2011	160
926	2013	158
927	2015	156
928	2016	154
929	2018	151
930	2020	149
931	2021	147
932	2027	145
933	2029	143
934	2033	141
935	2035	139
936	2039	137
937	2041	134
938	2043	132
939	2046	130
940	2047	128
941	2048	126
942	2050	123
943	2052	121
944	2056	119
945	2061	117
946	2063	115
947	2064	113
948	2065	111
949	2073	109
950	2074	106
951	2077	104
952	2079	102
953	2080	100
954	2081	98
955	2083	95
956	2085	93
957	2088	91
958	2089	89
959	2091	87
960	2092	84
961	2094	82
962	2099	80
963	2101	78
964	2103	76
965	2105	74
966	2106	71
967	2108	69
968	2109	67
969	2112	65
970	2115	63
971	2118	61
972	2119	58
973	2120	56
974	2121	54
975	2123	52
976	2124	50
977	2127	47
978	2129	45
979	2130	43
980	2131	41
981	2132	39
982	2134	36
983	2135	34
984	2136	32
985	2138	30
986	2139	28
987	2144	26
988	2145	23
989	2146	21
990	2148	19
991	2149	17
992	2150	15
993	2152	12
994	2153	10
995	2154	8
996	2159	6
997	2162	4
998	2163	2
999	2164	0
